LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1735218293.086451,245210.000,37748,1,MZ,1,100,-6
1735218293.126451,245250.000,37767,2,MZ,1,100,-6
1735218293.166451,245290.000,37767,2,MZ,1,100,-5
1735218293.206452,245330.000,37786,3,MZ,1,100,-6
1735218293.246452,245370.000,37786,3,MZ,1,100,-5
1735218293.286453,245410.000,37786,3,MZ,1,100,-4
1735218293.326453,245450.000,37800,2,MZ,1,100,-5
1735218293.366453,245490.000,37800,2,MZ,1,100,-5
1735218293.406454,245530.000,37818,3,MZ,1,100,-6
1735218293.446454,245570.000,37818,3,MZ,1,100,-5
1735218293.486454,245610.000,37818,3,MZ,1,100,-7
1735218293.526455,245650.000,37834,2,MZ,1,100,-5
1735218293.566455,245690.000,37834,2,MZ,1,100,-6
1735218293.606122,245729.667,37851,3,MZ,1,100,-4
1735218293.645789,245769.333,37851,3,MZ,1,100,-5
1735218293.685456,245809.000,37851,3,MZ,1,100,-6
1735218293.725456,245849.000,37866,2,MZ,1,100,-6
1735218293.765457,245889.000,37866,2,MZ,1,100,-4
1735218293.805457,245929.000,37883,3,MZ,1,100,-6
1735218293.845457,245969.000,37883,3,MZ,1,100,-6
1735218293.885458,246009.000,37883,3,MZ,1,100,-5
1735218293.925458,246049.000,37904,4,MZ,1,100,-4
1735218293.965458,246089.000,37904,4,MZ,1,100,-7
1735218294.005459,246129.000,37904,4,MZ,1,100,-5
1735218294.045459,246169.000,37904,4,MZ,1,100,-6
1735218294.081126,246204.667,37924,3,MZ,1,100,-6
1735218294.116793,246240.333,37924,3,MZ,1,100,-6
1735218294.152460,246276.000,37924,3,MZ,1,100,-5
1735218294.192460,246316.000,37940,2,MZ,1,100,-4
1735218294.232461,246356.000,37940,2,MZ,1,100,-6
1735218294.272461,246396.000,37957,3,MZ,1,100,-4
1735218294.312461,246436.000,37957,3,MZ,1,100,-5
1735218294.352462,246476.000,37957,3,MZ,1,100,-6
1735218294.392462,246516.000,37972,2,MZ,1,100,-5
1735218294.432462,246556.000,37972,2,MZ,1,100,-5
1735218294.472463,246596.000,37989,3,MZ,1,100,-6
1735218294.512463,246636.000,37989,3,MZ,1,100,-6
1735218294.552464,246676.000,37989,3,MZ,1,100,-5
1735218294.592464,246716.000,38005,2,MZ,1,100,-7
1735218294.632464,246756.000,38005,2,MZ,1,100,-5
1735218294.672464,246796.000,38022,3,MZ,1,100,-5
1735218294.712465,246836.000,38022,3,MZ,1,100,-5
1735218294.752465,246876.000,38022,3,MZ,1,100,-6
1735218294.792465,246916.000,38038,2,MZ,1,100,-5
1735218294.832466,246956.000,38038,2,MZ,1,100,-4
1735218294.872466,246996.000,38054,3,MZ,1,100,-4
1735218294.912467,247036.000,38054,3,MZ,1,100,-5
1735218294.952467,247076.000,38054,3,MZ,1,100,-6
1735218294.992467,247116.000,38072,3,MZ,1,100,-6
1735218295.032468,247156.000,38072,3,MZ,1,100,-5
1735218295.072468,247196.000,38072,3,MZ,1,100,-5
1735218295.112468,247236.000,38090,2,MZ,1,100,-5
1735218295.152469,247276.000,38090,2,MZ,1,100,-5
1735218295.188136,247311.667,38106,3,MZ,1,100,-6
1735218295.223803,247347.333,38106,3,MZ,1,100,-4
1735218295.259470,247383.000,38106,3,MZ,1,100,-5
1735218295.299470,247423.000,38121,2,MZ,1,100,-6
1735218295.339470,247463.000,38121,2,MZ,1,100,-5
1735218295.379471,247503.000,38138,3,MZ,1,100,-4
1735218295.419471,247543.000,38138,3,MZ,1,100,-6
1735218295.459471,247583.000,38138,3,MZ,1,100,-5
1735218295.499472,247623.000,38155,3,MZ,1,100,-5
1735218295.539472,247663.000,38155,3,MZ,1,100,-5
1735218295.579472,247703.000,38155,3,MZ,1,100,-5
1735218295.619473,247743.000,38171,2,MZ,1,100,-6
1735218295.659473,247783.000,38171,2,MZ,1,100,-5
1735218295.699473,247823.000,38188,3,MZ,1,100,-4
1735218295.739474,247863.000,38188,3,MZ,1,100,-5
1735218295.779474,247903.000,38188,3,MZ,1,100,-5
1735218295.819474,247943.000,38205,2,MZ,1,100,-6
1735218295.859475,247983.000,38205,2,MZ,1,100,-6
1735218295.899475,248023.000,38222,3,MZ,1,100,-4
1735218295.939475,248063.000,38222,3,MZ,1,100,-5
1735218295.979476,248103.000,38222,3,MZ,1,100,-5
1735218296.019476,248143.000,38238,2,MZ,1,100,-6
1735218296.059476,248183.000,38238,2,MZ,1,100,-4
1735218296.099477,248223.000,38254,3,MZ,1,100,-5
1735218296.139477,248263.000,38254,3,MZ,1,100,-6
1735218296.179477,248303.000,38254,3,MZ,1,100,-5
1735218296.219478,248343.000,38270,2,MZ,1,100,-4
1735218296.259478,248383.000,38270,2,MZ,1,100,-5
1735218296.299479,248423.000,38287,3,MZ,1,100,-4
1735218296.339479,248463.000,38287,3,MZ,1,100,-6
1735218296.379479,248503.000,38287,3,MZ,1,100,-4
1735218296.414813,248538.333,38304,3,MZ,1,100,-6
1735218296.450146,248573.667,38304,3,MZ,1,100,-5
1735218296.485480,248609.000,38304,3,MZ,1,100,-5
1735218296.525481,248649.000,38319,2,MZ,1,100,-5
1735218296.565481,248689.000,38319,2,MZ,1,100,-6
1735218296.605481,248729.000,38337,3,MZ,1,100,-5
1735218296.645482,248769.000,38337,3,MZ,1,100,-7
1735218296.685482,248809.000,38337,3,MZ,1,100,-5
1735218296.725482,248849.000,38354,2,MZ,1,100,-7
1735218296.765482,248889.000,38354,2,MZ,1,100,-4
1735218296.805483,248929.000,38371,3,MZ,1,100,-5
1735218296.845483,248969.000,38371,3,MZ,1,100,-5
1735218296.885484,249009.000,38371,3,MZ,1,100,-5
1735218296.925484,249049.000,38387,2,MZ,1,100,-5
1735218296.965484,249089.000,38387,2,MZ,1,100,-6
1735218297.005485,249129.000,38402,3,MZ,1,100,-5
1735218297.045485,249169.000,38402,3,MZ,1,100,-5
1735218297.085485,249209.000,38402,3,MZ,1,100,-5
1735218297.125486,249249.000,38420,2,MZ,1,100,-4
