LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1735218293.086451,245210.000,37739,1,PG,1,100,11120
1735218293.126451,245250.000,37754,2,PG,1,100,11149
1735218293.166451,245290.000,37754,2,PG,1,100,11162
1735218293.206452,245330.000,37773,3,PG,1,100,11167
1735218293.246452,245370.000,37773,3,PG,1,100,11189
1735218293.286453,245410.000,37773,3,PG,1,100,11216
1735218293.326453,245450.000,37789,2,PG,1,100,11267
1735218293.366453,245490.000,37789,2,PG,1,100,11293
1735218293.406454,245530.000,37805,3,PG,1,100,11339
1735218293.446454,245570.000,37805,3,PG,1,100,11383
1735218293.486454,245610.000,37805,3,PG,1,100,11411
1735218293.526455,245650.000,37821,2,PG,1,100,11457
1735218293.566455,245690.000,37821,2,PG,1,100,11481
1735218293.610789,245734.333,37838,3,PG,1,100,11509
1735218293.655122,245778.667,37838,3,PG,1,100,11556
1735218293.699456,245823.000,37838,3,PG,1,100,11540
1735218293.739456,245863.000,37854,2,PG,1,100,11376
1735218293.779457,245903.000,37854,2,PG,1,100,11194
1735218293.819457,245943.000,37871,3,PG,1,100,11099
1735218293.859457,245983.000,37871,3,PG,1,100,11086
1735218293.899458,246023.000,37871,3,PG,1,100,11090
1735218293.939458,246063.000,37891,4,PG,1,100,11125
1735218293.979459,246103.000,37891,4,PG,1,100,11154
1735218294.019459,246143.000,37891,4,PG,1,100,11182
1735218294.059459,246183.000,37891,4,PG,1,100,11193
1735218294.099459,246223.000,37911,2,PG,1,100,11193
1735218294.139460,246263.000,37911,2,PG,1,100,11203
1735218294.179460,246303.000,37927,3,PG,1,100,11223
1735218294.219460,246343.000,37927,3,PG,1,100,11268
1735218294.259461,246383.000,37927,3,PG,1,100,11324
1735218294.299461,246423.000,37944,2,PG,1,100,11343
1735218294.339462,246463.000,37944,2,PG,1,100,11381
1735218294.379462,246503.000,37960,3,PG,1,100,11430
1735218294.419462,246543.000,37960,3,PG,1,100,11465
1735218294.459463,246583.000,37960,3,PG,1,100,11498
1735218294.499463,246623.000,37977,2,PG,1,100,11543
1735218294.539463,246663.000,37977,2,PG,1,100,11573
1735218294.579464,246703.000,37992,3,PG,1,100,11592
1735218294.619464,246743.000,37992,3,PG,1,100,11484
1735218294.659464,246783.000,37992,3,PG,1,100,11284
1735218294.699465,246823.000,38009,2,PG,1,100,11140
1735218294.739465,246863.000,38009,2,PG,1,100,11120
1735218294.779465,246903.000,38026,3,PG,1,100,11129
1735218294.819466,246943.000,38026,3,PG,1,100,11152
1735218294.859466,246983.000,38026,3,PG,1,100,11203
1735218294.899467,247023.000,38042,2,PG,1,100,11251
1735218294.939467,247063.000,38042,2,PG,1,100,11258
1735218294.979467,247103.000,38059,3,PG,1,100,11255
1735218295.019467,247143.000,38059,3,PG,1,100,11242
1735218295.059468,247183.000,38059,3,PG,1,100,11244
1735218295.099468,247223.000,38077,2,PG,1,100,11280
1735218295.139468,247263.000,38077,2,PG,1,100,11312
1735218295.179469,247303.000,38093,3,PG,1,100,11335
1735218295.219469,247343.000,38093,3,PG,1,100,11380
1735218295.259470,247383.000,38093,3,PG,1,100,11414
1735218295.299470,247423.000,38110,2,PG,1,100,11423
1735218295.339470,247463.000,38110,2,PG,1,100,11471
1735218295.379471,247503.000,38125,3,PG,1,100,11478
1735218295.419471,247543.000,38125,3,PG,1,100,11346
1735218295.459471,247583.000,38125,3,PG,1,100,11159
1735218295.499472,247623.000,38142,3,PG,1,100,11055
1735218295.539472,247663.000,38142,3,PG,1,100,11030
1735218295.579472,247703.000,38142,3,PG,1,100,11077
1735218295.619473,247743.000,38158,2,PG,1,100,11121
1735218295.659473,247783.000,38158,2,PG,1,100,11167
