LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1735218293.086451,245210.000,37737,1,PI,1,100,167220
1735218293.126451,245250.000,37752,2,PI,1,100,167267
1735218293.166451,245290.000,37752,2,PI,1,100,167282
1735218293.206452,245330.000,37771,3,PI,1,100,167291
1735218293.246452,245370.000,37771,3,PI,1,100,167297
1735218293.286453,245410.000,37771,3,PI,1,100,167372
1735218293.326453,245450.000,37787,2,PI,1,100,167438
1735218293.366453,245490.000,37787,2,PI,1,100,167515
1735218293.406454,245530.000,37803,3,PI,1,100,167577
1735218293.446454,245570.000,37803,3,PI,1,100,167652
1735218293.486454,245610.000,37803,3,PI,1,100,167741
1735218293.526455,245650.000,37819,2,PI,1,100,167806
1735218293.566455,245690.000,37819,2,PI,1,100,167858
1735218293.610789,245734.333,37836,3,PI,1,100,167910
1735218293.655122,245778.667,37836,3,PI,1,100,167989
1735218293.699456,245823.000,37836,3,PI,1,100,167927
1735218293.739456,245863.000,37852,2,PI,1,100,167654
1735218293.779457,245903.000,37852,2,PI,1,100,167325
1735218293.819457,245943.000,37869,3,PI,1,100,167166
1735218293.859457,245983.000,37869,3,PI,1,100,167154
1735218293.899458,246023.000,37869,3,PI,1,100,167181
1735218293.939458,246063.000,37889,4,PI,1,100,167218
1735218293.979459,246103.000,37889,4,PI,1,100,167321
1735218294.019459,246143.000,37889,4,PI,1,100,167377
1735218294.059459,246183.000,37889,4,PI,1,100,167402
1735218294.099459,246223.000,37909,2,PI,1,100,167412
1735218294.139460,246263.000,37909,2,PI,1,100,167427
1735218294.179460,246303.000,37925,3,PI,1,100,167475
1735218294.219460,246343.000,37925,3,PI,1,100,167550
1735218294.259461,246383.000,37925,3,PI,1,100,167624
1735218294.299461,246423.000,37942,2,PI,1,100,167699
1735218294.339462,246463.000,37942,2,PI,1,100,167764
1735218294.379462,246503.000,37958,3,PI,1,100,167848
1735218294.419462,246543.000,37958,3,PI,1,100,167923
1735218294.459463,246583.000,37958,3,PI,1,100,168004
1735218294.499463,246623.000,37975,2,PI,1,100,168065
1735218294.539463,246663.000,37975,2,PI,1,100,168119
1735218294.579464,246703.000,37990,3,PI,1,100,168162
1735218294.619464,246743.000,37990,3,PI,1,100,167962
1735218294.659464,246783.000,37990,3,PI,1,100,167624
1735218294.699465,246823.000,38007,2,PI,1,100,167432
1735218294.739465,246863.000,38007,2,PI,1,100,167380
1735218294.779465,246903.000,38024,3,PI,1,100,167406
1735218294.819466,246943.000,38024,3,PI,1,100,167455
1735218294.859466,246983.000,38024,3,PI,1,100,167549
1735218294.899467,247023.000,38040,2,PI,1,100,167623
1735218294.939467,247063.000,38040,2,PI,1,100,167660
1735218294.979467,247103.000,38057,3,PI,1,100,167647
1735218295.019467,247143.000,38057,3,PI,1,100,167598
1735218295.059468,247183.000,38057,3,PI,1,100,167617
1735218295.099468,247223.000,38075,2,PI,1,100,167663
1735218295.139468,247263.000,38075,2,PI,1,100,167725
1735218295.179469,247303.000,38091,3,PI,1,100,167793
1735218295.219469,247343.000,38091,3,PI,1,100,167816
1735218295.259470,247383.000,38091,3,PI,1,100,167869
1735218295.299470,247423.000,38108,2,PI,1,100,167919
1735218295.339470,247463.000,38108,2,PI,1,100,167956
1735218295.379471,247503.000,38123,3,PI,1,100,167949
1735218295.419471,247543.000,38123,3,PI,1,100,167707
1735218295.459471,247583.000,38123,3,PI,1,100,167405
1735218295.499472,247623.000,38140,3,PI,1,100,167240
1735218295.539472,247663.000,38140,3,PI,1,100,167243
1735218295.579472,247703.000,38140,3,PI,1,100,167306
1735218295.619473,247743.000,38156,2,PI,1,100,167366
1735218295.659473,247783.000,38156,2,PI,1,100,167437
1735218295.699473,247823.000,38175,3,PI,1,100,167514
1735218295.739474,247863.000,38175,3,PI,1,100,167512
1735218295.779474,247903.000,38175,3,PI,1,100,167514
1735218295.819474,247943.000,38190,2,PI,1,100,167550
1735218295.859475,247983.000,38190,2,PI,1,100,167602
1735218295.899475,248023.000,38207,3,PI,1,100,167661
1735218295.939475,248063.000,38207,3,PI,1,100,167730
1735218295.979476,248103.000,38207,3,PI,1,100,167802
1735218296.019476,248143.000,38223,2,PI,1,100,167868
1735218296.059476,248183.000,38223,2,PI,1,100,167937
1735218296.099477,248223.000,38241,3,PI,1,100,168003
1735218296.139477,248263.000,38241,3,PI,1,100,168065
1735218296.179477,248303.000,38241,3,PI,1,100,168142
1735218296.219478,248343.000,38255,2,PI,1,100,168155
1735218296.259478,248383.000,38255,2,PI,1,100,167916
1735218296.299479,248423.000,38272,3,PI,1,100,167586
1735218296.339479,248463.000,38272,3,PI,1,100,167435
1735218296.379479,248503.000,38272,3,PI,1,100,167397
1735218296.419480,248543.000,38289,2,PI,1,100,167407
1735218296.459480,248583.000,38289,2,PI,1,100,167488
1735218296.499480,248623.000,38306,3,PI,1,100,167596
1735218296.539481,248663.000,38306,3,PI,1,100,167681
1735218296.579481,248703.000,38306,3,PI,1,100,167716
1735218296.619481,248743.000,38322,2,PI,1,100,167700
1735218296.659482,248783.000,38322,2,PI,1,100,167707
1735218296.699482,248823.000,38339,3,PI,1,100,167735
1735218296.739482,248863.000,38339,3,PI,1,100,167777
1735218296.779483,248903.000,38339,3,PI,1,100,167836
1735218296.819483,248943.000,38356,2,PI,1,100,167933
1735218296.859483,248983.000,38356,2,PI,1,100,168019
1735218296.899484,249023.000,38373,3,PI,1,100,168079
1735218296.939484,249063.000,38373,3,PI,1,100,168150
1735218296.979484,249103.000,38373,3,PI,1,100,168205
1735218297.019485,249143.000,38388,3,PI,1,100,168261
1735218297.059485,249183.000,38388,3,PI,1,100,168260
1735218297.099485,249223.000,38388,3,PI,1,100,168012
1735218297.139486,249263.000,38405,2,PI,1,100,167697
1735218297.179486,249303.000,38405,2,PI,1,100,167535
1735218297.219486,249343.000,38421,3,PI,1,100,167511
