LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1735218293.086451,245210.000,37738,1,PR,1,100,150279
1735218293.126451,245250.000,37753,2,PR,1,100,150299
1735218293.166451,245290.000,37753,2,PR,1,100,150316
1735218293.206452,245330.000,37772,3,PR,1,100,150317
1735218293.246452,245370.000,37772,3,PR,1,100,150333
1735218293.286453,245410.000,37772,3,PR,1,100,150357
1735218293.326453,245450.000,37788,2,PR,1,100,150379
1735218293.366453,245490.000,37788,2,PR,1,100,150411
1735218293.406454,245530.000,37804,3,PR,1,100,150451
1735218293.446454,245570.000,37804,3,PR,1,100,150474
1735218293.486454,245610.000,37804,3,PR,1,100,150496
1735218293.526455,245650.000,37820,2,PR,1,100,150525
1735218293.566455,245690.000,37820,2,PR,1,100,150535
1735218293.610789,245734.333,37837,3,PR,1,100,150552
1735218293.655122,245778.667,37837,3,PR,1,100,150581
1735218293.699456,245823.000,37837,3,PR,1,100,150574
1735218293.739456,245863.000,37853,2,PR,1,100,150481
1735218293.779457,245903.000,37853,2,PR,1,100,150347
1735218293.819457,245943.000,37870,3,PR,1,100,150276
1735218293.859457,245983.000,37870,3,PR,1,100,150269
1735218293.899458,246023.000,37870,3,PR,1,100,150280
1735218293.939458,246063.000,37890,4,PR,1,100,150295
1735218293.979459,246103.000,37890,4,PR,1,100,150336
1735218294.019459,246143.000,37890,4,PR,1,100,150338
1735218294.059459,246183.000,37890,4,PR,1,100,150364
1735218294.099459,246223.000,37910,2,PR,1,100,150365
1735218294.139460,246263.000,37910,2,PR,1,100,150361
1735218294.179460,246303.000,37926,3,PR,1,100,150402
1735218294.219460,246343.000,37926,3,PR,1,100,150428
1735218294.259461,246383.000,37926,3,PR,1,100,150454
1735218294.299461,246423.000,37943,2,PR,1,100,150476
1735218294.339462,246463.000,37943,2,PR,1,100,150520
1735218294.379462,246503.000,37959,3,PR,1,100,150548
1735218294.419462,246543.000,37959,3,PR,1,100,150573
1735218294.459463,246583.000,37959,3,PR,1,100,150603
1735218294.499463,246623.000,37976,2,PR,1,100,150621
1735218294.539463,246663.000,37976,2,PR,1,100,150629
1735218294.579464,246703.000,37991,3,PR,1,100,150660
1735218294.619464,246743.000,37991,3,PR,1,100,150603
1735218294.659464,246783.000,37991,3,PR,1,100,150486
1735218294.699465,246823.000,38008,2,PR,1,100,150392
1735218294.739465,246863.000,38008,2,PR,1,100,150356
1735218294.779465,246903.000,38025,3,PR,1,100,150378
1735218294.819466,246943.000,38025,3,PR,1,100,150380
1735218294.859466,246983.000,38025,3,PR,1,100,150420
1735218294.899467,247023.000,38041,2,PR,1,100,150448
1735218294.939467,247063.000,38041,2,PR,1,100,150469
1735218294.979467,247103.000,38058,3,PR,1,100,150460
1735218295.019467,247143.000,38058,3,PR,1,100,150440
1735218295.059468,247183.000,38058,3,PR,1,100,150452
1735218295.099468,247223.000,38076,2,PR,1,100,150468
1735218295.139468,247263.000,38076,2,PR,1,100,150499
1735218295.179469,247303.000,38092,3,PR,1,100,150517
1735218295.219469,247343.000,38092,3,PR,1,100,150524
1735218295.259470,247383.000,38092,3,PR,1,100,150549
1735218295.299470,247423.000,38109,2,PR,1,100,150569
1735218295.339470,247463.000,38109,2,PR,1,100,150600
1735218295.379471,247503.000,38124,3,PR,1,100,150590
1735218295.419471,247543.000,38124,3,PR,1,100,150492
1735218295.459471,247583.000,38124,3,PR,1,100,150384
1735218295.499472,247623.000,38141,3,PR,1,100,150309
1735218295.539472,247663.000,38141,3,PR,1,100,150315
1735218295.579472,247703.000,38141,3,PR,1,100,150328
1735218295.619473,247743.000,38157,2,PR,1,100,150353
1735218295.659473,247783.000,38157,2,PR,1,100,150372
1735218295.699473,247823.000,38176,3,PR,1,100,150414
1735218295.739474,247863.000,38176,3,PR,1,100,150425
1735218295.779474,247903.000,38176,3,PR,1,100,150424
1735218295.819474,247943.000,38191,2,PR,1,100,150435
1735218295.859475,247983.000,38191,2,PR,1,100,150452
1735218295.899475,248023.000,38208,3,PR,1,100,150468
1735218295.939475,248063.000,38208,3,PR,1,100,150495
1735218295.979476,248103.000,38208,3,PR,1,100,150542
1735218296.019476,248143.000,38224,2,PR,1,100,150550
1735218296.059476,248183.000,38224,2,PR,1,100,150578
1735218296.099477,248223.000,38242,3,PR,1,100,150615
1735218296.139477,248263.000,38242,3,PR,1,100,150625
1735218296.179477,248303.000,38242,3,PR,1,100,150651
1735218296.219478,248343.000,38256,2,PR,1,100,150663
1735218296.259478,248383.000,38256,2,PR,1,100,150604
1735218296.299479,248423.000,38273,3,PR,1,100,150473
1735218296.339479,248463.000,38273,3,PR,1,100,150397
1735218296.379479,248503.000,38273,3,PR,1,100,150375
1735218296.419480,248543.000,38290,2,PR,1,100,150375
1735218296.459480,248583.000,38290,2,PR,1,100,150419
1735218296.499480,248623.000,38307,3,PR,1,100,150450
1735218296.539481,248663.000,38307,3,PR,1,100,150477
1735218296.579481,248703.000,38307,3,PR,1,100,150500
1735218296.619481,248743.000,38323,2,PR,1,100,150494
1735218296.659482,248783.000,38323,2,PR,1,100,150492
1735218296.699482,248823.000,38340,3,PR,1,100,150524
1735218296.739482,248863.000,38340,3,PR,1,100,150534
1735218296.779483,248903.000,38340,3,PR,1,100,150568
1735218296.819483,248943.000,38357,2,PR,1,100,150584
1735218296.859483,248983.000,38357,2,PR,1,100,150614
1735218296.899484,249023.000,38374,3,PR,1,100,150664
1735218296.939484,249063.000,38374,3,PR,1,100,150666
1735218296.979484,249103.000,38374,3,PR,1,100,150704
1735218297.019485,249143.000,38389,3,PR,1,100,150724
1735218297.059485,249183.000,38389,3,PR,1,100,150724
1735218297.099485,249223.000,38389,3,PR,1,100,150628
1735218297.139486,249263.000,38406,2,PR,1,100,150524
1735218297.179486,249303.000,38406,2,PR,1,100,150447
1735218297.219486,249343.000,38422,3,PR,1,100,150436
1735218297.259487,249383.000,38422,3,PR,1,100,150464
1735218297.299487,249423.000,38422,3,PR,1,100,150472
1735218297.339488,249463.000,38439,2,PR,1,100,150501
1735218297.379488,249503.000,38439,2,PR,1,100,150536
1735218297.425988,249549.500,38458,2,PR,1,100,150547
1735218297.472489,249596.000,38458,2,PR,1,100,150577
1735218297.512489,249636.000,38473,3,PR,1,100,150560
1735218297.552489,249676.000,38473,3,PR,1,100,150573
1735218297.592490,249716.000,38473,3,PR,1,100,150590
1735218297.632490,249756.000,38489,2,PR,1,100,150616
1735218297.672490,249796.000,38489,2,PR,1,100,150657
1735218297.712491,249836.000,38507,3,PR,1,100,150688
1735218297.752491,249876.000,38507,3,PR,1,100,150692
1735218297.792491,249916.000,38507,3,PR,1,100,150727
1735218297.832492,249956.000,38523,3,PR,1,100,150748
1735218297.872492,249996.000,38523,3,PR,1,100,150668
1735218297.912493,250036.000,38523,3,PR,1,100,150554
1735218297.952493,250076.000,38538,2,PR,1,100,150494
1735218297.992493,250116.000,38538,2,PR,1,100,150459
1735218298.032493,250156.000,38554,3,PR,1,100,150473
1735218298.072494,250196.000,38554,3,PR,1,100,150511
1735218298.112494,250236.000,38554,3,PR,1,100,150546
1735218298.152494,250276.000,38574,2,PR,1,100,150564
1735218298.192495,250316.000,38574,2,PR,1,100,150580
1735218298.232495,250356.000,38592,3,PR,1,100,150571
1735218298.272496,250396.000,38592,3,PR,1,100,150568
1735218298.312496,250436.000,38592,3,PR,1,100,150575
1735218298.352496,250476.000,38607,2,PR,1,100,150606
1735218298.392497,250516.000,38607,2,PR,1,100,150638
1735218298.432497,250556.000,38624,3,PR,1,100,150674
1735218298.472497,250596.000,38624,3,PR,1,100,150695
1735218298.512498,250636.000,38624,3,PR,1,100,150717
1735218298.552498,250676.000,38641,2,PR,1,100,150730
1735218298.592498,250716.000,38641,2,PR,1,100,150740
1735218298.632499,250756.000,38657,3,PR,1,100,150657
1735218298.672499,250796.000,38657,3,PR,1,100,150528
1735218298.712499,250836.000,38657,3,PR,1,100,150474
1735218298.752500,250876.000,38673,2,PR,1,100,150469
1735218298.792500,250916.000,38673,2,PR,1,100,150495
1735218298.832500,250956.000,38689,3,PR,1,100,150519
1735218298.872501,250996.000,38689,3,PR,1,100,150560
1735218298.912501,251036.000,38689,3,PR,1,100,150586
1735218298.952501,251076.000,38708,2,PR,1,100,150555
1735218298.992502,251116.000,38708,2,PR,1,100,150587
1735218299.032502,251156.000,38728,4,PR,1,100,150560
1735218299.072502,251196.000,38728,4,PR,1,100,150609
1735218299.112503,251236.000,38728,4,PR,1,100,150642
1735218299.152503,251276.000,38728,4,PR,1,100,150663
1735218299.192503,251316.000,38745,2,PR,1,100,150718
1735218299.232504,251356.000,38745,2,PR,1,100,150728
1735218299.272504,251396.000,38760,3,PR,1,100,150756
1735218299.312505,251436.000,38760,3,PR,1,100,150793
1735218299.352505,251476.000,38760,3,PR,1,100,150819
1735218299.392505,251516.000,38776,2,PR,1,100,150834
1735218299.432506,251556.000,38776,2,PR,1,100,150804
1735218299.472506,251596.000,38793,3,PR,1,100,150693
1735218299.512506,251636.000,38793,3,PR,1,100,150589
1735218299.552507,251676.000,38793,3,PR,1,100,150517
1735218299.592507,251716.000,38810,3,PR,1,100,150509
1735218299.632507,251756.000,38810,3,PR,1,100,150498
1735218299.672508,251796.000,38810,3,PR,1,100,150541
1735218299.712508,251836.000,38826,2,PR,1,100,150563
1735218299.752508,251876.000,38826,2,PR,1,100,150579
1735218299.792509,251916.000,38844,3,PR,1,100,150597
1735218299.832509,251956.000,38844,3,PR,1,100,150592
1735218299.872509,251996.000,38844,3,PR,1,100,150592
1735218299.912510,252036.000,38860,2,PR,1,100,150631
1735218299.952510,252076.000,38860,2,PR,1,100,150653
1735218299.992510,252116.000,38877,3,PR,1,100,150697
1735218300.032511,252156.000,38877,3,PR,1,100,150718
1735218300.072511,252196.000,38877,3,PR,1,100,150756
1735218300.112511,252236.000,38894,2,PR,1,100,150765
1735218300.152512,252276.000,38894,2,PR,1,100,150788
1735218300.192512,252316.000,38909,3,PR,1,100,150814
1735218300.232512,252356.000,38909,3,PR,1,100,150836
1735218300.272513,252396.000,38909,3,PR,1,100,150818
1735218300.312513,252436.000,38925,2,PR,1,100,150718
1735218300.352514,252476.000,38925,2,PR,1,100,150604
1735218300.392514,252516.000,38943,3,PR,1,100,150552
1735218300.432514,252556.000,38943,3,PR,1,100,150562
1735218300.472514,252596.000,38943,3,PR,1,100,150585
1735218300.512515,252636.000,38959,2,PR,1,100,150609
1735218300.552515,252676.000,38959,2,PR,1,100,150630
1735218300.592515,252716.000,38976,3,PR,1,100,150657
1735218300.632516,252756.000,38976,3,PR,1,100,150669
1735218300.672516,252796.000,38976,3,PR,1,100,150641
1735218300.712517,252836.000,38992,2,PR,1,100,150671
1735218300.752517,252876.000,38992,2,PR,1,100,150683
1735218300.792517,252916.000,39010,3,PR,1,100,150693
1735218300.832518,252956.000,39010,3,PR,1,100,150704
1735218300.872518,252996.000,39010,3,PR,1,100,150735
1735218300.912518,253036.000,39026,2,PR,1,100,150777
1735218300.952519,253076.000,39026,2,PR,1,100,150779
1735218300.992519,253116.000,39041,3,PR,1,100,150828
1735218301.032519,253156.000,39041,3,PR,1,100,150793
1735218301.072520,253196.000,39041,3,PR,1,100,150669
1735218301.119020,253242.500,39058,2,PR,1,100,150593
1735218301.165520,253289.000,39058,2,PR,1,100,150541
1735218301.205521,253329.000,39075,3,PR,1,100,150547
1735218301.245521,253369.000,39075,3,PR,1,100,150596
1735218301.285522,253409.000,39075,3,PR,1,100,150636
1735218301.325522,253449.000,39091,2,PR,1,100,150678
1735218301.365522,253489.000,39091,2,PR,1,100,150694
1735218301.405523,253529.000,39110,3,PR,1,100,150695
1735218301.445523,253569.000,39110,3,PR,1,100,150708
1735218301.485523,253609.000,39110,3,PR,1,100,150692
1735218301.525524,253649.000,39125,2,PR,1,100,150696
1735218301.565524,253689.000,39125,2,PR,1,100,150720
1735218301.605524,253729.000,39142,3,PR,1,100,150743
1735218301.645525,253769.000,39142,3,PR,1,100,150768
1735218301.685525,253809.000,39142,3,PR,1,100,150799
1735218301.725525,253849.000,39158,2,PR,1,100,150808
1735218301.765526,253889.000,39158,2,PR,1,100,150833
1735218301.805526,253929.000,39175,3,PR,1,100,150841
1735218301.845526,253969.000,39175,3,PR,1,100,150773
1735218301.885527,254009.000,39175,3,PR,1,100,150622
1735218301.925527,254049.000,39190,3,PR,1,100,150525
1735218301.965527,254089.000,39190,3,PR,1,100,150520
1735218302.005528,254129.000,39190,3,PR,1,100,150525
1735218302.045528,254169.000,39207,2,PR,1,100,150566
1735218302.085528,254209.000,39207,2,PR,1,100,150601
1735218302.125529,254249.000,39224,3,PR,1,100,150592
1735218302.165529,254289.000,39224,3,PR,1,100,150609
1735218302.205529,254329.000,39224,3,PR,1,100,150604
1735218302.245530,254369.000,39243,2,PR,1,100,150599
1735218302.285530,254409.000,39243,2,PR,1,100,150612
1735218302.325531,254449.000,39257,3,PR,1,100,150638
1735218302.365531,254489.000,39257,3,PR,1,100,150688
1735218302.405531,254529.000,39257,3,PR,1,100,150724
1735218302.445532,254569.000,39275,2,PR,1,100,150753
1735218302.485532,254609.000,39275,2,PR,1,100,150770
1735218302.525532,254649.000,39291,3,PR,1,100,150796
1735218302.565533,254689.000,39291,3,PR,1,100,150822
1735218302.605533,254729.000,39291,3,PR,1,100,150870
1735218302.645533,254769.000,39308,2,PR,1,100,150810
1735218302.685534,254809.000,39308,2,PR,1,100,150672
1735218302.725534,254849.000,39323,3,PR,1,100,150575
1735218302.765534,254889.000,39323,3,PR,1,100,150565
1735218302.805535,254929.000,39323,3,PR,1,100,150562
1735218302.845535,254969.000,39340,2,PR,1,100,150599
1735218302.885535,255009.000,39340,2,PR,1,100,150624
1735218302.925536,255049.000,39358,3,PR,1,100,150635
1735218302.965536,255089.000,39358,3,PR,1,100,150675
1735218303.005536,255129.000,39358,3,PR,1,100,150684
1735218303.045537,255169.000,39375,2,PR,1,100,150673
1735218303.085537,255209.000,39375,2,PR,1,100,150701
1735218303.125537,255249.000,39392,3,PR,1,100,150720
1735218303.165538,255289.000,39392,3,PR,1,100,150754
1735218303.205538,255329.000,39392,3,PR,1,100,150776
1735218303.245538,255369.000,39409,3,PR,1,100,150822
1735218303.285539,255409.000,39409,3,PR,1,100,150838
1735218303.325539,255449.000,39409,3,PR,1,100,150859
1735218303.365540,255489.000,39427,2,PR,1,100,150884
1735218303.405540,255529.000,39427,2,PR,1,100,150898
1735218303.445540,255569.000,39445,3,PR,1,100,150830
1735218303.485540,255609.000,39445,3,PR,1,100,150715
1735218303.525541,255649.000,39445,3,PR,1,100,150657
1735218303.565541,255689.000,39459,2,PR,1,100,150651
1735218303.605541,255729.000,39459,2,PR,1,100,150655
1735218303.645542,255769.000,39476,3,PR,1,100,150677
1735218303.685542,255809.000,39476,3,PR,1,100,150734
1735218303.725543,255849.000,39476,3,PR,1,100,150734
1735218303.765543,255889.000,39495,2,PR,1,100,150757
1735218303.805543,255929.000,39495,2,PR,1,100,150768
1735218303.845544,255969.000,39512,3,PR,1,100,150752
1735218303.885544,256009.000,39512,3,PR,1,100,150768
1735218303.925544,256049.000,39512,3,PR,1,100,150788
1735218303.965545,256089.000,39527,2,PR,1,100,150837
1735218304.005545,256129.000,39527,2,PR,1,100,150821
1735218304.045545,256169.000,39543,3,PR,1,100,150882
1735218304.085546,256209.000,39543,3,PR,1,100,150899
1735218304.125546,256249.000,39543,3,PR,1,100,150920
1735218304.165546,256289.000,39568,3,PR,1,100,150853
1735218304.205547,256329.000,39568,3,PR,1,100,150750
1735218304.245547,256369.000,39568,3,PR,1,100,150688
1735218304.285547,256409.000,39586,3,PR,1,100,150674
1735218304.325548,256449.000,39586,3,PR,1,100,150680
1735218304.365548,256489.000,39586,3,PR,1,100,150701
1735218304.405548,256529.000,39606,3,PR,1,100,150741
1735218304.445549,256569.000,39606,3,PR,1,100,150761
1735218304.485549,256609.000,39606,3,PR,1,100,150792
1735218304.525549,256649.000,39622,2,PR,1,100,150773
1735218304.565550,256689.000,39622,2,PR,1,100,150788
1735218304.605550,256729.000,39637,3,PR,1,100,150789
1735218304.645550,256769.000,39637,3,PR,1,100,150824
1735218304.685551,256809.000,39637,3,PR,1,100,150861
1735218304.725551,256849.000,39653,2,PR,1,100,150890
1735218304.765552,256889.000,39653,2,PR,1,100,150920
1735218304.805552,256929.000,39671,2,PR,1,100,150926
