LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1735218293.957458,246081.000,37886,2,RD,1,100,TL
1735218293.957458,246081.000,37886,2,RD,1,100,TU
1735218296.510980,248634.500,38725,2,RD,1,100,TL
1735218299.064502,251188.000,38725,2,RD,1,100,TU
1735218301.619524,253743.000,39562,2,RD,1,100,TL
1735218304.174546,256298.000,39562,2,RD,1,100,TU
1735218306.732069,258855.500,40402,2,RD,1,100,TL
1735218309.289591,261413.000,40402,2,RD,1,100,TU
1735218311.848613,263972.000,41238,2,RD,1,100,TL
1735218314.407635,266531.000,41238,2,RD,1,100,TU
1735218316.966157,269089.500,42074,2,RD,1,100,TL
1735218319.524679,271648.000,42074,2,RD,1,100,TU
1735218322.078201,274201.500,42880,2,RD,1,100,TL
1735218324.631723,276755.000,42880,2,RD,1,100,TU
1735218327.185745,279309.000,43701,2,RD,1,100,TL
1735218329.739767,281863.000,43701,2,RD,1,100,TU
1735218332.294289,284417.500,44530,2,RD,1,100,TL
1735218334.848811,286972.000,44530,2,RD,1,100,TU
1735218337.422833,289546.000,45323,2,RD,1,100,TL
1735218339.996855,292120.000,45323,2,RD,1,100,TU
1735218342.555378,294678.500,46158,2,RD,1,100,TL
1735218345.113900,297237.000,46158,2,RD,1,100,TU
1735218347.669422,299792.500,46992,2,RD,1,100,TL
1735218350.224944,302348.000,46992,2,RD,1,100,TU
1735218352.792966,304916.000,47830,2,RD,1,100,TL
1735218355.360988,307484.000,47830,2,RD,1,100,TU
1735218357.915010,310038.000,48640,2,RD,1,100,TL
1735218360.469032,312592.000,48640,2,RD,1,100,TU
1735218363.022054,315145.000,49464,2,RD,1,100,TL
1735218365.575076,317698.000,49464,2,RD,1,100,TU
1735218368.128598,320251.500,50283,2,RD,1,100,TL
1735218370.682120,322805.000,50283,2,RD,1,100,TU
1735218373.238642,325361.500,51073,2,RD,1,100,TL
1735218375.795165,327918.000,51073,2,RD,1,100,TU
1735218378.353187,330476.000,51911,2,RD,1,100,TL
1735218380.911209,333034.000,51911,2,RD,1,100,TU
1735218383.470731,335593.500,52746,2,RD,1,100,TL
1735218386.030253,338153.000,52746,2,RD,1,100,TU
1735218388.594775,340717.500,53585,2,RD,1,100,TL
1735218391.159297,343282.000,53585,2,RD,1,100,TU
1735218393.712819,345835.500,54405,2,RD,1,100,TL
1735218396.266341,348389.000,54405,2,RD,1,100,TU
1735218398.833363,350956.000,55240,2,RD,1,100,TL
1735218401.400385,353523.000,55240,2,RD,1,100,TU
1735218403.961407,356084.000,56080,2,RD,1,100,TL
1735218406.522430,358645.000,56080,2,RD,1,100,TU
1735218409.087452,361210.000,56919,2,RD,1,100,TL
1735218411.652474,363775.000,56919,2,RD,1,100,TU
1735218414.220496,366343.000,57762,2,RD,1,100,TL
1735218416.788518,368911.000,57762,2,RD,1,100,TU
1735218419.356540,371479.000,58602,2,RD,1,100,TL
1735218421.924562,374047.000,58602,2,RD,1,100,TU
1735218424.476584,376599.000,59425,2,RD,1,100,TL
1735218427.028607,379151.000,59425,2,RD,1,100,TU
1735218429.585629,381708.000,60260,2,RD,1,100,TL
1735218432.142651,384265.000,60260,2,RD,1,100,TU
1735218434.702673,386825.000,61100,2,RD,1,100,TL
1735218437.262695,389385.000,61100,2,RD,1,100,TU
1735218439.828717,391951.000,61937,2,RD,1,100,TL
1735218442.394739,394517.000,61937,2,RD,1,100,TU
1735218444.956261,397078.500,62775,2,RD,1,100,TL
1735218447.517783,399640.000,62775,2,RD,1,100,TU
1735218450.078305,402200.500,63614,2,RD,1,100,TL
1735218452.638828,404761.000,63614,2,RD,1,100,TU
1735218455.197350,407319.500,64449,2,RD,1,100,TL
1735218457.755872,409878.000,64449,2,RD,1,100,TU
1735218460.313894,412436.000,65268,2,RD,1,100,TL
1735218462.871916,414994.000,65268,2,RD,1,100,TU
1735218465.433438,417555.500,568,2,RD,1,100,TL
1735218467.994960,420117.000,568,2,RD,1,100,TU
1735218470.553982,422676.000,1407,2,RD,1,100,TL
1735218473.113004,425235.000,1407,2,RD,1,100,TU
1735218475.675026,427797.000,2247,2,RD,1,100,TL
1735218478.237048,430359.000,2247,2,RD,1,100,TU
1735218480.794070,432916.000,3084,2,RD,1,100,TL
1735218483.351093,435473.000,3084,2,RD,1,100,TU
1735218485.903615,438025.500,3922,2,RD,1,100,TL
1735218488.456137,440578.000,3922,2,RD,1,100,TU
1735218491.016159,443138.000,4762,2,RD,1,100,TL
1735218493.576181,445698.000,4762,2,RD,1,100,TU
1735218496.130203,448252.000,5582,2,RD,1,100,TL
1735218498.684225,450806.000,5582,2,RD,1,100,TU
1735218501.236747,453358.500,6418,2,RD,1,100,TL
1735218503.789269,455911.000,6418,2,RD,1,100,TU
1735218506.345791,458467.500,7256,2,RD,1,100,TL
1735218508.902313,461024.000,7256,2,RD,1,100,TU
1735218511.454835,463576.500,8093,2,RD,1,100,TL
1735218514.007357,466129.000,8093,2,RD,1,100,TU
1735218516.567379,468689.000,8930,2,RD,1,100,TL
1735218519.127401,471249.000,8930,2,RD,1,100,TU
1735218521.683423,473805.000,9768,2,RD,1,100,TL
1735218524.239445,476361.000,9768,2,RD,1,100,TU
1735218526.795968,478917.500,10603,2,RD,1,100,TL
1735218529.352489,481474.000,10603,2,RD,1,100,TU
1735218531.909512,484031.000,11423,2,RD,1,100,TL
1735218534.466534,486588.000,11423,2,RD,1,100,TU
1735218537.027056,489148.500,12261,2,RD,1,100,TL
1735218539.587578,491709.000,12261,2,RD,1,100,TU
1735218542.140100,494261.500,13096,2,RD,1,100,TL
1735218544.692622,496814.000,13096,2,RD,1,100,TU
