LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1735218302.870535,254994,39424,1,SA,1,100,0.011092
1735218304.204547,256328,39583,1,SA,1,100,0.000732
1735218319.135676,271259,42161,1,SA,1,100,0.043412
1735218329.468765,281592,43789,1,SA,1,100,0.036397
1735218331.067779,283191,44008,1,SA,1,100,0.015250
1735218332.067787,284191,44125,1,SA,1,100,0.008426
1735218351.332953,303456,47292,1,SA,1,100,0.010438
1735218358.932019,311055,48503,1,SA,1,100,0.013528
1735218361.599042,313722,48979,1,SA,1,100,0.066206
1735218381.930218,334053,52113,1,SA,1,100,0.000643
1735218389.796285,341919,53448,1,SA,1,100,0.007202
1735218397.795354,349918,54708,1,SA,1,100,0.002484
1735218404.728414,356851,55925,1,SA,1,100,0.027245
1735218406.928433,359051,56349,1,SA,1,100,0.032750
1735218408.795449,360918,56468,1,SA,1,100,0.001364
1735218412.994485,365117,57226,1,SA,1,100,0.015699
1735218414.060495,366183,57459,1,SA,1,100,0.021989
1735218418.727535,370850,58132,1,SA,1,100,0.004190
1735218420.993555,373116,58579,1,SA,1,100,0.022280
1735218435.325678,387448,60931,1,SA,1,100,0.042310
1735218442.391739,394514,62090,1,SA,1,100,0.041781
1735218450.723811,402846,63445,1,SA,1,100,0.045985
1735218458.922882,411045,64835,1,SA,1,100,0.087852
1735218469.855976,421978,1070,1,SA,1,100,0.078075
1735218484.921106,437043,3485,1,SA,1,100,0.063810
1735218491.987167,444109,4605,1,SA,1,100,0.030957
1735218517.317386,469439,8742,1,SA,1,100,0.007601
1735218546.581638,498703,13580,1,SA,1,100,0.037335
1735218555.248713,507370,14973,1,SA,1,100,0.015645
1735218609.243179,561364,23806,1,SA,1,100,0.013480
1735218621.842288,573963,25730,1,SA,1,100,0.002034
1735218629.974358,582095,27087,1,SA,1,100,0.003536
1735218641.373456,593494,29196,1,SA,1,100,0.121174
1735218643.706476,595827,29265,1,SA,1,100,0.005439
1735218663.437647,615558,32508,1,SA,1,100,0.001161
1735218664.704658,616825,32773,1,SA,1,100,0.021243
1735218677.370767,629491,34838,1,SA,1,100,0.019047
1735218715.500096,667620,41089,1,SA,1,100,0.010958
1735218718.499122,670619,41529,1,SA,1,100,0.009894
1735218722.433156,674553,42197,1,SA,1,100,0.024478
1735218729.965221,682085,43338,1,SA,1,100,0.000281
1735218738.631295,690751,44832,1,SA,1,100,0.022403
1735218751.563407,703683,46857,1,SA,1,100,0.003312
1735218752.896419,705016,47193,1,SA,1,100,0.048775
1735218766.294534,718414,49173,1,SA,1,100,0.000802
1735218799.692822,751812,54724,1,SA,1,100,0.029639
1735218800.958833,753078,54973,1,SA,1,100,0.074700
1735218825.556046,777675,58831,1,SA,1,100,0.004442
1735218837.955153,790074,61057,1,SA,1,100,0.120388
1735218852.154275,804273,63202,1,SA,1,100,0.054521
1735218863.086369,815205,64918,1,SA,1,100,0.065825
1735218867.886411,820005,156,1,SA,1,100,0.038684
1735218870.485433,822604,523,1,SA,1,100,0.007426
1735218875.884480,828003,1442,1,SA,1,100,0.062018
1735218887.951584,840070,3442,1,SA,1,100,0.062262
1735218902.215707,854334,5821,1,SA,1,100,0.057979
1735218906.482744,858601,6503,1,SA,1,100,0.059033
1735218921.880877,873999,9047,1,SA,1,100,0.104316
1735218929.813945,881932,10257,1,SA,1,100,0.050512
1735218944.879075,896997,12750,1,SA,1,100,0.021116
1735218945.812083,897930,12936,1,SA,1,100,0.045419
1735218953.744152,905862,14129,1,SA,1,100,0.013200
1735218963.077232,915195,15695,1,SA,1,100,0.020223
1735218970.810299,922928,16921,1,SA,1,100,0.007129
1735218974.143328,926261,17478,1,SA,1,100,0.005279
