LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1735218293.138451,245262.000,37751,1,SF,1,100,8.6845
1735218293.471454,245595.000,37802,1,SF,1,100,8.5840
1735218293.871458,245995.000,37868,1,SF,1,100,8.4847
1735218294.138460,246262.000,37908,1,SF,1,100,8.3866
1735218294.538463,246662.000,37974,1,SF,1,100,8.2895
1735218294.804466,246928.000,38023,1,SF,1,100,8.1937
1735218295.138469,247262.000,38074,1,SF,1,100,8.0989
1735218295.471471,247595.000,38122,1,SF,1,100,8.0052
1735218295.871475,247995.000,38189,1,SF,1,100,7.9126
1735218296.137477,248261.000,38240,1,SF,1,100,7.8210
1735218296.471480,248595.000,38288,1,SF,1,100,7.7306
1735218296.871483,248995.000,38355,1,SF,1,100,7.6411
1735218297.138486,249262.000,38404,1,SF,1,100,7.5527
1735218297.471489,249595.000,38456,1,SF,1,100,7.4654
1735218297.804492,249928.000,38505,1,SF,1,100,7.3790
1735218298.204495,250328.000,38572,1,SF,1,100,7.2937
1735218298.471497,250595.000,38622,1,SF,1,100,7.2093
1735218298.804500,250928.000,38671,1,SF,1,100,7.1259
1735218299.137503,251261.000,38726,1,SF,1,100,7.0435
1735218299.537506,251661.000,38791,1,SF,1,100,6.9620
1735218299.871509,251995.000,38842,1,SF,1,100,6.8814
1735218300.137512,252261.000,38892,1,SF,1,100,6.8018
1735218300.470515,252594.000,38941,1,SF,1,100,6.7231
1735218300.870518,252994.000,39008,1,SF,1,100,6.6454
1735218301.137520,253261.000,39056,1,SF,1,100,6.5685
1735218301.470523,253594.000,39108,1,SF,1,100,6.4925
1735218301.870527,253994.000,39173,1,SF,1,100,6.4174
1735218302.204530,254328.000,39222,1,SF,1,100,6.3432
1735218302.470532,254594.000,39273,1,SF,1,100,6.2698
1735218302.804535,254928.000,39321,1,SF,1,100,6.1973
1735218303.203538,255327.000,39390,1,SF,1,100,6.1256
1735218303.470540,255594.000,39443,1,SF,1,100,8.1370
1735218303.803543,255927.000,39493,1,SF,1,100,8.0428
1735218304.270547,256394.000,39566,1,SF,1,100,7.9498
1735218304.470549,256594.000,39604,1,SF,1,100,9.9401
1735218304.870553,256994.000,39669,1,SF,1,100,9.8251
1735218305.137555,257261.000,39717,1,SF,1,100,9.7114
1735218305.470558,257594.000,39769,1,SF,1,100,9.5991
1735218305.870561,257994.000,39834,1,SF,1,100,9.4881
1735218306.203564,258327.000,39885,1,SF,1,100,9.3783
1735218306.470566,258594.000,39934,1,SF,1,100,9.2698
1735218306.803569,258927.000,39982,1,SF,1,100,9.1626
1735218307.203573,259327.000,40049,1,SF,1,100,9.0566
1735218307.470575,259594.000,40100,1,SF,1,100,8.9518
1735218307.803578,259927.000,40150,1,SF,1,100,8.8483
1735218308.203581,260327.000,40217,1,SF,1,100,8.7459
1735218308.536584,260660.000,40268,1,SF,1,100,8.6447
1735218308.803586,260927.000,40318,1,SF,1,100,8.5447
1735218309.136589,261260.000,40367,1,SF,1,100,8.4459
1735218309.469592,261593.000,40420,1,SF,1,100,8.3482
1735218309.803595,261927.000,40470,1,SF,1,100,8.2516
1735218310.203598,262327.000,40537,1,SF,1,100,8.1561
1735218310.469601,262593.000,40585,1,SF,1,100,8.0618
1735218310.803604,262927.000,40636,1,SF,1,100,7.9685
1735218311.203607,263327.000,40701,1,SF,1,100,7.8764
1735218311.469609,263593.000,40751,1,SF,1,100,7.7852
1735218311.803612,263927.000,40802,1,SF,1,100,7.6952
1735218312.136615,264260.000,40850,1,SF,1,100,7.6062
1735218312.536619,264660.000,40917,1,SF,1,100,7.5182
1735218312.802621,264926.000,40968,1,SF,1,100,7.4312
1735218313.136624,265260.000,41016,1,SF,1,100,7.3452
1735218313.536627,265660.000,41085,1,SF,1,100,7.2603
1735218313.802629,265926.000,41134,1,SF,1,100,7.1763
1735218314.136632,266260.000,41185,1,SF,1,100,7.0933
1735218314.469635,266593.000,41242,1,SF,1,100,7.0112
1735218314.802638,266926.000,41290,1,SF,1,100,6.9301
1735218315.202642,267326.000,41357,1,SF,1,100,6.8499
1735218315.469644,267593.000,41408,1,SF,1,100,6.7707
1735218315.802647,267926.000,41458,1,SF,1,100,6.6924
1735218316.135650,268259.000,41507,1,SF,1,100,6.6150
1735218316.535653,268659.000,41574,1,SF,1,100,6.5384
1735218316.802655,268926.000,41624,1,SF,1,100,6.4628
1735218317.135658,269259.000,41673,1,SF,1,100,6.3880
1735218317.535662,269659.000,41740,1,SF,1,100,6.3141
1735218317.802664,269926.000,41788,1,SF,1,100,6.2411
1735218318.135667,270259.000,41841,1,SF,1,100,6.1689
1735218318.469670,270593.000,41891,1,SF,1,100,6.0975
1735218318.869673,270993.000,41956,1,SF,1,100,6.0270
1735218319.135676,271259.000,42007,1,SF,1,100,5.9573
1735218319.469678,271593.000,42055,1,SF,1,100,5.8884
1735218319.802681,271926.000,42094,1,SF,1,100,5.8202
1735218320.202685,272326.000,42163,1,SF,1,100,7.8352
1735218320.468687,272592.000,42212,1,SF,1,100,7.7445
1735218320.802690,272926.000,42262,1,SF,1,100,7.6549
1735218321.135693,273259.000,42313,1,SF,1,100,7.5664
1735218321.535696,273659.000,42380,1,SF,1,100,7.4789
1735218321.802699,273926.000,42428,1,SF,1,100,7.3923
1735218322.135701,274259.000,42479,1,SF,1,100,7.3068
1735218322.468704,274592.000,42529,1,SF,1,100,7.2223
1735218322.868708,274992.000,42594,1,SF,1,100,7.1388
1735218323.135710,275259.000,42645,1,SF,1,100,7.0562
1735218323.468713,275592.000,42696,1,SF,1,100,6.9745
1735218323.801716,275925.000,42748,1,SF,1,100,6.8939
1735218324.201719,276325.000,42813,1,SF,1,100,6.8141
1735218324.535722,276659.000,42861,1,SF,1,100,6.7353
1735218324.801724,276925.000,42902,1,SF,1,100,6.6574
1735218325.135727,277259.000,42951,1,SF,1,100,6.5804
1735218325.535731,277659.000,43018,1,SF,1,100,6.5042
1735218325.801733,277925.000,43066,1,SF,1,100,6.4290
1735218326.135736,278259.000,43115,1,SF,1,100,6.3546
1735218326.534739,278658.000,43183,1,SF,1,100,6.2811
1735218326.868742,278992.000,43232,1,SF,1,100,6.2085
1735218327.135745,279259.000,43283,1,SF,1,100,6.1366
1735218327.468747,279592.000,43332,1,SF,1,100,6.0656
1735218327.801750,279925.000,43384,1,SF,1,100,5.9955
1735218328.201754,280325.000,43451,1,SF,1,100,5.9261
1735218328.468756,280592.000,43501,1,SF,1,100,5.8576
1735218328.801759,280925.000,43550,1,SF,1,100,5.7898
1735218329.134762,281258.000,43600,1,SF,1,100,5.7228
1735218329.534765,281658.000,43667,1,SF,1,100,5.6566
1735218329.801768,281925.000,43705,1,SF,1,100,5.5912
1735218330.134770,282258.000,43755,1,SF,1,100,5.5265
1735218330.534774,282658.000,43822,1,SF,1,100,7.5448
1735218330.801776,282925.000,43875,1,SF,1,100,7.4576
1735218331.134779,283258.000,43923,1,SF,1,100,7.3713
1735218331.467782,283591.000,43975,1,SF,1,100,7.2860
1735218331.867785,283991.000,44042,1,SF,1,100,9.2840
1735218332.201788,284325.000,44091,1,SF,1,100,9.1766
1735218332.467791,284591.000,44144,1,SF,1,100,11.1527
1735218332.801794,284925.000,44192,1,SF,1,100,11.0237
1735218333.200797,285324.000,44261,1,SF,1,100,10.8961
1735218333.534800,285658.000,44312,1,SF,1,100,10.7701
1735218333.800802,285924.000,44362,1,SF,1,100,10.6455
1735218334.134805,286258.000,44411,1,SF,1,100,10.5224
1735218334.534808,286658.000,44479,1,SF,1,100,10.4006
1735218334.934812,287058.000,44532,1,SF,1,100,10.2803
