LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1735218302.870535,254994,39425,1,SR,1,100,0.400000
1735218304.204547,256328,39584,1,SR,1,100,0.066667
1735218319.135676,271259,42162,1,SR,1,100,0.933333
1735218329.468765,281592,43790,1,SR,1,100,0.800000
1735218331.067779,283191,44009,1,SR,1,100,0.466667
1735218332.067787,284191,44126,1,SR,1,100,0.266667
1735218351.332953,303456,47293,1,SR,1,100,0.733333
1735218358.932019,311055,48504,1,SR,1,100,0.600000
1735218361.599042,313722,48980,1,SR,1,100,0.933333
1735218381.930218,334053,52114,1,SR,1,100,0.200000
1735218389.796285,341919,53449,1,SR,1,100,0.466667
1735218397.795354,349918,54709,1,SR,1,100,0.333333
1735218404.728414,356851,55926,1,SR,1,100,0.866667
1735218406.928433,359051,56350,1,SR,1,100,1.200000
1735218408.795449,360918,56469,1,SR,1,100,0.066667
1735218412.994485,365117,57227,1,SR,1,100,0.533333
1735218414.060495,366183,57460,1,SR,1,100,0.866667
1735218418.727535,370850,58133,1,SR,1,100,0.333333
1735218420.993555,373116,58580,1,SR,1,100,0.733333
1735218435.325678,387448,60932,1,SR,1,100,0.866667
1735218442.391739,394514,62091,1,SR,1,100,0.866667
1735218450.723811,402846,63446,1,SR,1,100,0.800000
1735218458.922882,411045,64836,1,SR,1,100,1.133333
1735218469.855976,421978,1071,1,SR,1,100,1.133333
1735218484.921106,437043,3486,1,SR,1,100,0.800000
1735218491.987167,444109,4606,1,SR,1,100,0.666667
1735218517.317386,469439,8743,1,SR,1,100,0.666667
1735218546.581638,498703,13581,1,SR,1,100,1.066667
1735218555.248713,507370,14974,1,SR,1,100,0.866667
1735218609.243179,561364,23807,1,SR,1,100,1.200000
1735218621.842288,573963,25731,1,SR,1,100,0.333333
1735218629.974358,582095,27088,1,SR,1,100,0.466667
1735218641.373456,593494,29197,1,SR,1,100,2.066667
1735218643.706476,595827,29266,1,SR,1,100,0.066667
1735218663.437647,615558,32509,1,SR,1,100,0.266667
1735218664.704658,616825,32774,1,SR,1,100,0.533333
1735218677.370767,629491,34839,1,SR,1,100,0.600000
1735218715.500096,667620,41090,1,SR,1,100,0.866667
1735218718.499122,670619,41530,1,SR,1,100,0.600000
1735218722.433156,674553,42198,1,SR,1,100,0.733333
1735218729.965221,682085,43339,1,SR,1,100,0.133333
1735218738.631295,690751,44833,1,SR,1,100,0.666667
1735218751.563407,703683,46858,1,SR,1,100,0.333333
1735218752.896419,705016,47194,1,SR,1,100,1.066667
1735218766.294534,718414,49174,1,SR,1,100,0.200000
1735218799.692822,751812,54725,1,SR,1,100,0.866667
1735218800.958833,753078,54974,1,SR,1,100,1.200000
1735218825.556046,777675,58832,1,SR,1,100,0.333333
1735218837.955153,790074,61058,1,SR,1,100,1.666667
1735218852.154275,804273,63203,1,SR,1,100,0.733333
1735218863.086369,815205,64919,1,SR,1,100,0.866667
1735218867.886411,820005,157,1,SR,1,100,0.733333
1735218870.485433,822604,524,1,SR,1,100,0.400000
1735218875.884480,828003,1443,1,SR,1,100,0.600000
1735218887.951584,840070,3443,1,SR,1,100,0.733333
1735218902.215707,854334,5822,1,SR,1,100,0.933333
1735218906.482744,858601,6504,1,SR,1,100,0.866667
1735218921.880877,873999,9048,1,SR,1,100,1.133333
1735218929.813945,881932,10258,1,SR,1,100,0.600000
1735218944.879075,896997,12751,1,SR,1,100,0.666667
1735218945.812083,897930,12937,1,SR,1,100,0.866667
1735218953.744152,905862,14130,1,SR,1,100,0.466667
1735218963.077232,915195,15696,1,SR,1,100,0.600000
1735218970.810299,922928,16922,1,SR,1,100,0.400000
1735218974.143328,926261,17479,1,SR,1,100,0.400000
