LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1735218293.131451,245255.000,37757,1,T1,1,100,35.652
1735218293.264452,245388.000,37776,1,T1,1,100,35.637
1735218293.398453,245522.000,37808,1,T1,1,100,35.630
1735218293.531455,245655.000,37824,1,T1,1,100,35.698
1735218293.664456,245788.000,37841,1,T1,1,100,35.657
1735218293.798457,245922.000,37857,1,T1,1,100,35.781
1735218293.931458,246055.000,37894,1,T1,1,100,35.799
1735218294.064459,246188.000,37914,1,T1,1,100,35.913
1735218294.198460,246322.000,37930,1,T1,1,100,35.856
1735218294.331461,246455.000,37947,1,T1,1,100,35.760
1735218294.464463,246588.000,37963,1,T1,1,100,35.790
1735218294.598464,246722.000,37995,1,T1,1,100,35.874
1735218294.731465,246855.000,38012,1,T1,1,100,35.874
1735218294.864466,246988.000,38029,1,T1,1,100,35.839
1735218294.998467,247122.000,38062,1,T1,1,100,35.860
1735218295.131469,247255.000,38080,1,T1,1,100,35.833
1735218295.264470,247388.000,38096,1,T1,1,100,35.857
1735218295.397471,247521.000,38128,1,T1,1,100,35.867
1735218295.531472,247655.000,38145,1,T1,1,100,35.836
1735218295.664473,247788.000,38161,1,T1,1,100,35.965
1735218295.797474,247921.000,38195,1,T1,1,100,35.914
1735218295.931475,248055.000,38212,1,T1,1,100,35.821
1735218296.064476,248188.000,38228,1,T1,1,100,35.816
1735218296.197478,248321.000,38260,1,T1,1,100,35.814
1735218296.331479,248455.000,38277,1,T1,1,100,35.707
1735218296.464480,248588.000,38294,1,T1,1,100,35.838
1735218296.597481,248721.000,38327,1,T1,1,100,35.894
1735218296.731482,248855.000,38344,1,T1,1,100,35.919
1735218296.864483,248988.000,38361,1,T1,1,100,36.000
1735218296.997484,249121.000,38378,1,T1,1,100,35.965
1735218297.131486,249255.000,38410,1,T1,1,100,35.737
1735218297.264487,249388.000,38426,1,T1,1,100,35.780
1735218297.397488,249521.000,38443,1,T1,1,100,35.905
1735218297.531489,249655.000,38477,1,T1,1,100,35.781
1735218297.664490,249788.000,38493,1,T1,1,100,35.764
1735218297.797491,249921.000,38511,1,T1,1,100,35.862
1735218297.931493,250055.000,38542,1,T1,1,100,35.869
1735218298.064494,250188.000,38558,1,T1,1,100,35.802
1735218298.197495,250321.000,38578,1,T1,1,100,35.879
1735218298.330496,250454.000,38611,1,T1,1,100,35.948
1735218298.464497,250588.000,38628,1,T1,1,100,35.906
1735218298.597498,250721.000,38645,1,T1,1,100,35.924
1735218298.731499,250855.000,38677,1,T1,1,100,35.967
1735218298.864501,250988.000,38693,1,T1,1,100,35.986
1735218298.997502,251121.000,38712,1,T1,1,100,35.958
1735218299.130503,251254.000,38732,1,T1,1,100,35.982
1735218299.264504,251388.000,38749,1,T1,1,100,35.850
1735218299.397505,251521.000,38780,1,T1,1,100,35.900
1735218299.530506,251654.000,38797,1,T1,1,100,35.992
1735218299.664508,251788.000,38814,1,T1,1,100,35.926
1735218299.797509,251921.000,38848,1,T1,1,100,35.932
1735218299.930510,252054.000,38864,1,T1,1,100,35.864
1735218300.064511,252188.000,38881,1,T1,1,100,35.835
1735218300.197512,252321.000,38913,1,T1,1,100,35.858
1735218300.330513,252454.000,38929,1,T1,1,100,36.045
1735218300.464514,252588.000,38947,1,T1,1,100,35.913
1735218300.597516,252721.000,38980,1,T1,1,100,35.856
1735218300.730517,252854.000,38996,1,T1,1,100,35.902
1735218300.864518,252988.000,39014,1,T1,1,100,35.887
1735218300.997519,253121.000,39045,1,T1,1,100,35.916
1735218301.130520,253254.000,39062,1,T1,1,100,36.070
1735218301.264521,253388.000,39079,1,T1,1,100,36.101
1735218301.397522,253521.000,39095,1,T1,1,100,35.937
1735218301.530524,253654.000,39129,1,T1,1,100,35.937
1735218301.664525,253788.000,39146,1,T1,1,100,35.973
