LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1735218293.146451,245270.000,37758,1,TH,1,100,35.108
1735218293.279452,245403.000,37777,1,TH,1,100,35.108
1735218293.413454,245537.000,37809,1,TH,1,100,35.120
1735218293.546455,245670.000,37825,1,TH,1,100,35.120
1735218293.679456,245803.000,37842,1,TH,1,100,35.068
1735218293.812457,245936.000,37874,1,TH,1,100,35.075
1735218293.946458,246070.000,37895,1,TH,1,100,35.077
1735218294.079459,246203.000,37915,1,TH,1,100,35.077
1735218294.212461,246336.000,37931,1,TH,1,100,35.135
1735218294.346462,246470.000,37948,1,TH,1,100,35.135
1735218294.479463,246603.000,37980,1,TH,1,100,35.069
1735218294.612464,246736.000,37996,1,TH,1,100,35.076
1735218294.746465,246870.000,38013,1,TH,1,100,35.096
1735218294.879466,247003.000,38045,1,TH,1,100,35.096
1735218295.013467,247137.000,38063,1,TH,1,100,35.144
1735218295.146469,247270.000,38081,1,TH,1,100,35.144
1735218295.279470,247403.000,38097,1,TH,1,100,35.119
1735218295.412471,247536.000,38129,1,TH,1,100,35.119
1735218295.546472,247670.000,38146,1,TH,1,100,35.105
1735218295.679473,247803.000,38162,1,TH,1,100,35.113
1735218295.812474,247936.000,38196,1,TH,1,100,35.184
1735218295.946476,248070.000,38213,1,TH,1,100,35.184
1735218296.079477,248203.000,38229,1,TH,1,100,35.170
1735218296.212478,248336.000,38261,1,TH,1,100,35.170
1735218296.346479,248470.000,38278,1,TH,1,100,35.069
1735218296.479480,248603.000,38295,1,TH,1,100,35.076
1735218296.612481,248736.000,38328,1,TH,1,100,35.102
1735218296.745482,248869.000,38345,1,TH,1,100,35.102
1735218296.879483,249003.000,38362,1,TH,1,100,35.017
1735218297.012485,249136.000,38393,1,TH,1,100,35.017
1735218297.146486,249270.000,38411,1,TH,1,100,35.251
1735218297.279487,249403.000,38427,1,TH,1,100,35.251
1735218297.412488,249536.000,38444,1,TH,1,100,35.149
1735218297.546489,249670.000,38478,1,TH,1,100,35.156
1735218297.679490,249803.000,38494,1,TH,1,100,35.135
1735218297.812492,249936.000,38512,1,TH,1,100,35.135
1735218297.945493,250069.000,38543,1,TH,1,100,35.159
1735218298.079494,250203.000,38559,1,TH,1,100,35.159
1735218298.212495,250336.000,38579,1,TH,1,100,35.116
1735218298.345496,250469.000,38612,1,TH,1,100,35.123
1735218298.479497,250603.000,38629,1,TH,1,100,35.178
1735218298.612499,250736.000,38646,1,TH,1,100,35.178
1735218298.745500,250869.000,38678,1,TH,1,100,35.196
1735218298.879501,251003.000,38694,1,TH,1,100,35.196
1735218299.012502,251136.000,38713,1,TH,1,100,35.147
1735218299.145503,251269.000,38733,1,TH,1,100,35.155
1735218299.279504,251403.000,38764,1,TH,1,100,35.147
1735218299.412505,251536.000,38781,1,TH,1,100,35.147
1735218299.545506,251669.000,38798,1,TH,1,100,35.116
1735218299.679508,251803.000,38815,1,TH,1,100,35.116
1735218299.812509,251936.000,38849,1,TH,1,100,35.204
1735218299.945510,252069.000,38865,1,TH,1,100,35.212
1735218300.078511,252202.000,38882,1,TH,1,100,35.149
1735218300.212512,252336.000,38914,1,TH,1,100,35.149
1735218300.345513,252469.000,38930,1,TH,1,100,35.090
1735218300.478515,252602.000,38948,1,TH,1,100,35.090
1735218300.612516,252736.000,38981,1,TH,1,100,35.204
1735218300.745517,252869.000,38997,1,TH,1,100,35.211
1735218300.878518,253002.000,39015,1,TH,1,100,35.094
1735218301.012519,253136.000,39046,1,TH,1,100,35.094
1735218301.145520,253269.000,39063,1,TH,1,100,35.201
1735218301.278522,253402.000,39080,1,TH,1,100,35.201
1735218301.412523,253536.000,39114,1,TH,1,100,35.142
1735218301.545524,253669.000,39130,1,TH,1,100,35.142
1735218301.678525,253802.000,39147,1,TH,1,100,35.190
1735218301.812526,253936.000,39179,1,TH,1,100,35.198
1735218301.945527,254069.000,39195,1,TH,1,100,35.159
1735218302.078528,254202.000,39212,1,TH,1,100,35.159
1735218302.212529,254336.000,39229,1,TH,1,100,35.202
1735218302.345531,254469.000,39262,1,TH,1,100,35.202
1735218302.478532,254602.000,39280,1,TH,1,100,35.100
1735218302.612533,254736.000,39296,1,TH,1,100,35.108
